system:index,shapeGroup,shapeID,shapeName,shapeType,sum,.geo,source_file
00000000000000000008,BIH,43093233B79928376109694,Gornji Vakuf-Uskoplje,ADM3,26.47507166862488,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
0000000000000000004b,BIH,43093233B36627259982738,Gradačac,ADM3,22.128851175308228,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
00000000000000000021,BIH,43093233B56705694783132,Gradiška,ADM3,226.69619784962896,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
0000000000000000004c,BIH,43093233B56079028726437,Gračanica,ADM3,44.944624094402094,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
00000000000000000063,BIH,43093233B22718181968730,Grude,ADM3,54.97413119662042,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
00000000000000000059,BIH,43093233B20708549274135,Hadžići,ADM3,22.96987722200506,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
0000000000000000003c,BIH,43093233B14603812803519,Han Pijesak,ADM3,30.605409741401672,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
0000000000000000005a,BIH,43093233B76640285060416,Ilidža,ADM3,918.7059853726744,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
00000000000000000009,BIH,43093233B29241521930866,Ilijaš,ADM3,63.600481529329336,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
0000000000000000002f,BIH,43093233B7218490296517,Istočna Ilidža,ADM3,302.1091127662097,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
00000000000000000017,BIH,43093233B25456706530362,Istočni Drvar,ADM3,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
00000000000000000032,BIH,43093233B93740576055705,Istočni Mostar,ADM3,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
00000000000000000056,BIH,43093233B26529153732630,Istočni Stari Grad,ADM3,22.22814743612327,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
00000000000000000030,BIH,43093233B18142755687930,Istočno Novo Sarajevo,ADM3,105.5339821362028,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
00000000000000000068,BIH,43093233B26186334377301,Jablanica,ADM3,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
00000000000000000089,BIH,43093233B65899723689105,Jajce,ADM3,27.52101159095764,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
00000000000000000020,BIH,43093233B33359263753816,Jezero,ADM3,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
00000000000000000081,BIH,43093233B37669859979811,Kakanj,ADM3,68.33431839942932,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
00000000000000000055,BIH,43093233B99462718052671,Kalesija,ADM3,12.843793861538757,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
00000000000000000040,BIH,43093233B96710806136322,Kalinovik,ADM3,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
00000000000000000084,BIH,43093233B52871697212491,Kiseljak,ADM3,69.06444537639618,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
00000000000000000054,BIH,43093233B14237164758735,Kladanj,ADM3,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
0000000000000000006f,BIH,43093233B71649810483300,Ključ,ADM3,14.867546439170836,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
0000000000000000002a,BIH,43093233B80520640315042,Kneževo,ADM3,16.698352575302124,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
00000000000000000067,BIH,43093233B96487180155456,Konjic,ADM3,23.695301055908203,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
0000000000000000001a,BIH,43093233B47950730410595,Kostajnica,ADM3,31.31562275465797,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
00000000000000000029,BIH,43093233B10611979100154,Kotor Varoš,ADM3,10.027196049690248,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
00000000000000000028,BIH,43093233B83849202769760,Kozarska Dubica,ADM3,92.33668923377992,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
00000000000000000083,BIH,43093233B96860256766014,Kreševo,ADM3,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
00000000000000000019,BIH,43093233B11243466270578,Kupra na Uni,ADM3,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
00000000000000000018,BIH,43093233B52535681657605,Kupres,ADM3,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
00000000000000000076,BIH,43093233B81215665595173,Kupres (BiH),ADM3,57.39336621761322,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
00000000000000000025,BIH,43093233B47346890100402,Laktaši,ADM3,165.543560219746,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
00000000000000000077,BIH,43093233B82239464067086,Livno,ADM3,229.3084634724785,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
0000000000000000003e,BIH,43093233B95293616483366,Ljubinje,ADM3,9.697876572608948,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
00000000000000000061,BIH,43093233B91159154650479,Ljubuški,ADM3,92.3817582130432,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
0000000000000000002d,BIH,43093233B10159844232387,Lopare,ADM3,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
00000000000000000052,BIH,43093233B16759840315853,Lukavac,ADM3,123.84152780981626,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
0000000000000000007b,BIH,43093233B1302485907862,Maglaj,ADM3,7.40197217464447,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
0000000000000000003a,BIH,43093233B9839651175697,Milići,ADM3,3.425457239151001,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
00000000000000000012,BIH,43093233B78423126306328,Modriča,ADM3,42.55303168296814,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
00000000000000000003,BIH,43093233B67623280303241,Mostar,ADM3,1819.5842307806013,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
0000000000000000002b,BIH,43093233B84847829539290,Mrkonjić Grad,ADM3,50.81962072849274,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
00000000000000000065,BIH,43093233B83862591324759,Neum,ADM3,40.310632412573874,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
00000000000000000042,BIH,43093233B54971893195073,Nevesinje,ADM3,36.33870625495911,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
0000000000000000001b,BIH,43093233B49947296698025,Novi Grad,ADM3,31.74208400109235,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
0000000000000000005d,BIH,43093233B94913651340481,Novi Grad,ADM3,1316.250814105483,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
0000000000000000008c,BIH,43093233B28738780111513,Novi Travnik,ADM3,17.66455689084296,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
0000000000000000005b,BIH,43093233B64707009731304,Novo Sarajevo,ADM3,902.79957298765,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
0000000000000000000c,BIH,43093233B26946767069658,Odžak,ADM3,7.129477093266506,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
00000000000000000000,BIH,43093233B78325541023921,Olovo,ADM3,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
0000000000000000000a,BIH,43093233B30937968623537,Orašje,ADM3,67.05968734984305,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
00000000000000000033,BIH,43093233B36601123912361,Osmaci,ADM3,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
0000000000000000001d,BIH,43093233B6819283992361,Oštra Luka,ADM3,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
00000000000000000038,BIH,43093233B56649915064424,Pale,ADM3,126.9649212477254,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
00000000000000000060,BIH,43093233B93468404991015,Pale-Prača,ADM3,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
0000000000000000000d,BIH,43093233B99179574711878,Pelagićevo,ADM3,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
00000000000000000016,BIH,43093233B23267747345323,Petrovac,ADM3,11.15714979171753,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
00000000000000000013,BIH,43093233B90446643337162,Petrovo,ADM3,4.522433084600111,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
00000000000000000062,BIH,43093233B68262385299464,Posušje,ADM3,181.63063657283783,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
0000000000000000001e,BIH,43093233B77793160970471,Prijedor,ADM3,103.33863830566406,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
00000000000000000023,BIH,43093233B75622628887489,Prnjavor,ADM3,47.63502609729767,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
00000000000000000066,BIH,43093233B2992764633338,Prozor-Rama,ADM3,5.459829211235046,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
00000000000000000064,BIH,43093233B77994413721373,Ravno,ADM3,2.680215835571289,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
